Symbol	GeneId	Molecular Function	Biological Process	Cellular Component	Category
BMP10	27302	GO:0005125;cytokine activity|GO:0005179;hormone activity|GO:0005515;protein binding|GO:0008083;growth factor activity|GO:0031433;telethonin binding|GO:0033612;receptor serine/threonine kinase binding	GO:0007155;cell adhesion|GO:0007512;adult heart development|GO:0010596;negative regulation of endothelial cell migration|GO:0010613;positive regulation of cardiac muscle hypertrophy|GO:0010614;negative regulation of cardiac muscle hypertrophy|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0030308;negative regulation of cell growth|GO:0030336;negative regulation of cell migration|GO:0030509;BMP signaling pathway|GO:0030509;BMP signaling pathway|GO:0032924;activin receptor signaling pathway|GO:0045214;sarcomere organization|GO:0045893;positive regulation of transcription, DNA-templated|GO:0055009;atrial cardiac muscle tissue morphogenesis|GO:0055010;ventricular cardiac muscle tissue morphogenesis|GO:0055015;ventricular cardiac muscle cell development|GO:0055117;regulation of cardiac muscle contraction|GO:0060038;cardiac muscle cell proliferation|GO:0060045;positive regulation of cardiac muscle cell proliferation|GO:0060298;positive regulation of sarcomere organization|GO:0060347;heart trabecula formation|GO:0060389;pathway-restricted SMAD protein phosphorylation|GO:0060395;SMAD protein signal transduction|GO:0061036;positive regulation of cartilage development|GO:1903242;regulation of cardiac muscle hypertrophy in response to stress|GO:2000138;positive regulation of cell proliferation involved in heart morphogenesis	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005737;cytoplasm|GO:0009986;cell surface|GO:0030018;Z disc	Process
BMP15	9210	GO:0005125;cytokine activity|GO:0008083;growth factor activity|GO:0070698;type I activin receptor binding	GO:0001541;ovarian follicle development|GO:0007292;female gamete generation|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0030509;BMP signaling pathway|GO:0043687;post-translational protein modification|GO:0044267;cellular protein metabolic process|GO:0045893;positive regulation of transcription, DNA-templated|GO:0060016;granulosa cell development|GO:0060395;SMAD protein signal transduction	GO:0005615;extracellular space|GO:0005788;endoplasmic reticulum lumen	Function
BMP2	650	GO:0004745;retinol dehydrogenase activity|GO:0005102;signaling receptor binding|GO:0005125;cytokine activity|GO:0005515;protein binding|GO:0008083;growth factor activity|GO:0019211;phosphatase activator activity|GO:0039706;co-receptor binding|GO:0046332;SMAD binding|GO:0070700;BMP receptor binding|GO:0070700;BMP receptor binding	GO:0000122;negative regulation of transcription by RNA polymerase II|GO:0000122;negative regulation of transcription by RNA polymerase II|GO:0000187;activation of MAPK activity|GO:0001501;skeletal system development|GO:0001649;osteoblast differentiation|GO:0001658;branching involved in ureteric bud morphogenesis|GO:0001666;response to hypoxia|GO:0001701;in utero embryonic development|GO:0001837;epithelial to mesenchymal transition|GO:0001934;positive regulation of protein phosphorylation|GO:0001938;positive regulation of endothelial cell proliferation|GO:0002062;chondrocyte differentiation|GO:0003130;BMP signaling pathway involved in heart induction|GO:0003181;atrioventricular valve morphogenesis|GO:0003203;endocardial cushion morphogenesis|GO:0003308;negative regulation of Wnt signaling pathway involved in heart development|GO:0006029;proteoglycan metabolic process|GO:0006355;regulation of transcription, DNA-templated|GO:0006468;protein phosphorylation|GO:0006954;inflammatory response|GO:0007219;Notch signaling pathway|GO:0007267;cell-cell signaling|GO:0007507;heart development|GO:0008285;negative regulation of cell proliferation|GO:0009617;response to bacterium|GO:0009887;animal organ morphogenesis|GO:0010628;positive regulation of gene expression|GO:0010628;positive regulation of gene expression|GO:0010629;negative regulation of gene expression|GO:0010718;positive regulation of epithelial to mesenchymal transition|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0010894;negative regulation of steroid biosynthetic process|GO:0010922;positive regulation of phosphatase activity|GO:0021537;telencephalon development|GO:0021978;telencephalon regionalization|GO:0030177;positive regulation of Wnt signaling pathway|GO:0030282;bone mineralization|GO:0030335;positive regulation of cell migration|GO:0030501;positive regulation of bone mineralization|GO:0030509;BMP signaling pathway|GO:0030509;BMP signaling pathway|GO:0030509;BMP signaling pathway|GO:0030509;BMP signaling pathway|GO:0030509;BMP signaling pathway|GO:0030509;BMP signaling pathway|GO:0031648;protein destabilization|GO:0032092;positive regulation of protein binding|GO:0032348;negative regulation of aldosterone biosynthetic process|GO:0033690;positive regulation of osteoblast proliferation|GO:0035051;cardiocyte differentiation|GO:0035051;cardiocyte differentiation|GO:0035054;embryonic heart tube anterior/posterior pattern specification|GO:0035630;bone mineralization involved in bone maturation|GO:0042475;odontogenesis of dentin-containing tooth|GO:0042482;positive regulation of odontogenesis|GO:0042487;regulation of odontogenesis of dentin-containing tooth|GO:0043065;positive regulation of apoptotic process|GO:0043410;positive regulation of MAPK cascade|GO:0043569;negative regulation of insulin-like growth factor receptor signaling pathway|GO:0045165;cell fate commitment|GO:0045600;positive regulation of fat cell differentiation|GO:0045666;positive regulation of neuron differentiation|GO:0045669;positive regulation of osteoblast differentiation|GO:0045778;positive regulation of ossification|GO:0045786;negative regulation of cell cycle|GO:0045892;negative regulation of transcription, DNA-templated|GO:0045893;positive regulation of transcription, DNA-templated|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0048711;positive regulation of astrocyte differentiation|GO:0048762;mesenchymal cell differentiation|GO:0048839;inner ear development|GO:0051042;negative regulation of calcium-independent cell-cell adhesion|GO:0055007;cardiac muscle cell differentiation|GO:0055008;cardiac muscle tissue morphogenesis|GO:0055114;oxidation-reduction process|GO:0060039;pericardium development|GO:0060128;corticotropin hormone secreting cell differentiation|GO:0060129;thyroid-stimulating hormone-secreting cell differentiation|GO:0060317;cardiac epithelial to mesenchymal transition|GO:0060389;pathway-restricted SMAD protein phosphorylation|GO:0060395;SMAD protein signal transduction|GO:0060395;SMAD protein signal transduction|GO:0060485;mesenchyme development|GO:0060804;positive regulation of Wnt signaling pathway by BMP signaling pathway|GO:0061036;positive regulation of cartilage development|GO:0070374;positive regulation of ERK1 and ERK2 cascade|GO:0070374;positive regulation of ERK1 and ERK2 cascade|GO:0071407;cellular response to organic cyclic compound|GO:0071773;cellular response to BMP stimulus|GO:0071773;cellular response to BMP stimulus|GO:0072138;mesenchymal cell proliferation involved in ureteric bud development|GO:0090090;negative regulation of canonical Wnt signaling pathway|GO:1900745;positive regulation of p38MAPK cascade|GO:1901522;positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus|GO:1902895;positive regulation of pri-miRNA transcription by RNA polymerase II|GO:2000065;negative regulation of cortisol biosynthetic process|GO:2000726;negative regulation of cardiac muscle cell differentiation	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0009986;cell surface|GO:0043231;intracellular membrane-bounded organelle|GO:0070724;BMP receptor complex	Process
BMP3	651	GO:0005102;signaling receptor binding|GO:0005125;cytokine activity|GO:0008083;growth factor activity|GO:0070700;BMP receptor binding	GO:0001501;skeletal system development|GO:0001649;osteoblast differentiation|GO:0007267;cell-cell signaling|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0051216;cartilage development|GO:0060395;SMAD protein signal transduction	GO:0005615;extracellular space|GO:0070062;extracellular exosome	Function
BMP4	652	GO:0005125;cytokine activity|GO:0005125;cytokine activity|GO:0005515;protein binding|GO:0008083;growth factor activity|GO:0008201;heparin binding|GO:0039706;co-receptor binding|GO:0042056;chemoattractant activity|GO:0070700;BMP receptor binding|GO:0070700;BMP receptor binding	GO:0000122;negative regulation of transcription by RNA polymerase II|GO:0000122;negative regulation of transcription by RNA polymerase II|GO:0000122;negative regulation of transcription by RNA polymerase II|GO:0000186;activation of MAPKK activity|GO:0001649;osteoblast differentiation|GO:0001657;ureteric bud development|GO:0001658;branching involved in ureteric bud morphogenesis|GO:0001822;kidney development|GO:0001823;mesonephros development|GO:0001843;neural tube closure|GO:0001934;positive regulation of protein phosphorylation|GO:0001938;positive regulation of endothelial cell proliferation|GO:0001958;endochondral ossification|GO:0002043;blood vessel endothelial cell proliferation involved in sprouting angiogenesis|GO:0002062;chondrocyte differentiation|GO:0002244;hematopoietic progenitor cell differentiation|GO:0002320;lymphoid progenitor cell differentiation|GO:0003014;renal system process|GO:0003130;BMP signaling pathway involved in heart induction|GO:0003139;secondary heart field specification|GO:0003148;outflow tract septum morphogenesis|GO:0003149;membranous septum morphogenesis|GO:0003150;muscular septum morphogenesis|GO:0003180;aortic valve morphogenesis|GO:0003184;pulmonary valve morphogenesis|GO:0003197;endocardial cushion development|GO:0003198;epithelial to mesenchymal transition involved in endocardial cushion formation|GO:0003215;cardiac right ventricle morphogenesis|GO:0003277;apoptotic process involved in endocardial cushion morphogenesis|GO:0003279;cardiac septum development|GO:0003323;type B pancreatic cell development|GO:0003337;mesenchymal to epithelial transition involved in metanephros morphogenesis|GO:0007182;common-partner SMAD protein phosphorylation|GO:0007281;germ cell development|GO:0007492;endoderm development|GO:0007500;mesodermal cell fate determination|GO:0008284;positive regulation of cell proliferation|GO:0008285;negative regulation of cell proliferation|GO:0009791;post-embryonic development|GO:0009948;anterior/posterior axis specification|GO:0010159;specification of animal organ position|GO:0010453;regulation of cell fate commitment|GO:0010595;positive regulation of endothelial cell migration|GO:0010628;positive regulation of gene expression|GO:0010629;negative regulation of gene expression|GO:0010718;positive regulation of epithelial to mesenchymal transition|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0010942;positive regulation of cell death|GO:0021537;telencephalon development|GO:0021904;dorsal/ventral neural tube patterning|GO:0021978;telencephalon regionalization|GO:0021983;pituitary gland development|GO:0030218;erythrocyte differentiation|GO:0030224;monocyte differentiation|GO:0030225;macrophage differentiation|GO:0030501;positive regulation of bone mineralization|GO:0030509;BMP signaling pathway|GO:0030509;BMP signaling pathway|GO:0030513;positive regulation of BMP signaling pathway|GO:0032092;positive regulation of protein binding|GO:0032331;negative regulation of chondrocyte differentiation|GO:0032967;positive regulation of collagen biosynthetic process|GO:0033085;negative regulation of T cell differentiation in thymus|GO:0033088;negative regulation of immature T cell proliferation in thymus|GO:0034504;protein localization to nucleus|GO:0035116;embryonic hindlimb morphogenesis|GO:0035990;tendon cell differentiation|GO:0035993;deltoid tuberosity development|GO:0042306;regulation of protein import into nucleus|GO:0042326;negative regulation of phosphorylation|GO:0042475;odontogenesis of dentin-containing tooth|GO:0042476;odontogenesis|GO:0042487;regulation of odontogenesis of dentin-containing tooth|GO:0042733;embryonic digit morphogenesis|GO:0043065;positive regulation of apoptotic process|GO:0043066;negative regulation of apoptotic process|GO:0043066;negative regulation of apoptotic process|GO:0043401;steroid hormone mediated signaling pathway|GO:0043407;negative regulation of MAP kinase activity|GO:0043687;post-translational protein modification|GO:0044267;cellular protein metabolic process|GO:0045603;positive regulation of endothelial cell differentiation|GO:0045606;positive regulation of epidermal cell differentiation|GO:0045662;negative regulation of myoblast differentiation|GO:0045666;positive regulation of neuron differentiation|GO:0045669;positive regulation of osteoblast differentiation|GO:0045778;positive regulation of ossification|GO:0045786;negative regulation of cell cycle|GO:0045839;negative regulation of mitotic nuclear division|GO:0045843;negative regulation of striated muscle tissue development|GO:0045892;negative regulation of transcription, DNA-templated|GO:0045893;positive regulation of transcription, DNA-templated|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0048286;lung alveolus development|GO:0048392;intermediate mesodermal cell differentiation|GO:0048661;positive regulation of smooth muscle cell proliferation|GO:0048663;neuron fate commitment|GO:0048701;embryonic cranial skeleton morphogenesis|GO:0048745;smooth muscle tissue development|GO:0048745;smooth muscle tissue development|GO:0048754;branching morphogenesis of an epithelial tube|GO:0050679;positive regulation of epithelial cell proliferation|GO:0050680;negative regulation of epithelial cell proliferation|GO:0050918;positive chemotaxis|GO:0051150;regulation of smooth muscle cell differentiation|GO:0055007;cardiac muscle cell differentiation|GO:0055020;positive regulation of cardiac muscle fiber development|GO:0060113;inner ear receptor cell differentiation|GO:0060197;cloacal septation|GO:0060235;lens induction in camera-type eye|GO:0060272;embryonic skeletal joint morphogenesis|GO:0060363;cranial suture morphogenesis|GO:0060391;positive regulation of SMAD protein signal transduction|GO:0060393;regulation of pathway-restricted SMAD protein phosphorylation|GO:0060395;SMAD protein signal transduction|GO:0060395;SMAD protein signal transduction|GO:0060425;lung morphogenesis|GO:0060433;bronchus development|GO:0060438;trachea development|GO:0060440;trachea formation|GO:0060441;epithelial tube branching involved in lung morphogenesis|GO:0060442;branching involved in prostate gland morphogenesis|GO:0060449;bud elongation involved in lung branching|GO:0060502;epithelial cell proliferation involved in lung morphogenesis|GO:0060503;bud dilation involved in lung branching|GO:0060548;negative regulation of cell death|GO:0060592;mammary gland formation|GO:0060684;epithelial-mesenchymal cell signaling|GO:0060686;negative regulation of prostatic bud formation|GO:0060687;regulation of branching involved in prostate gland morphogenesis|GO:0060976;coronary vasculature development|GO:0061036;positive regulation of cartilage development|GO:0061047;positive regulation of branching involved in lung morphogenesis|GO:0061149;BMP signaling pathway involved in ureter morphogenesis|GO:0061151;BMP signaling pathway involved in renal system segmentation|GO:0061155;pulmonary artery endothelial tube morphogenesis|GO:0061312;BMP signaling pathway involved in heart development|GO:0061626;pharyngeal arch artery morphogenesis|GO:0070244;negative regulation of thymocyte apoptotic process|GO:0070374;positive regulation of ERK1 and ERK2 cascade|GO:0071773;cellular response to BMP stimulus|GO:0071893;BMP signaling pathway involved in nephric duct formation|GO:0072015;glomerular visceral epithelial cell development|GO:0072097;negative regulation of branch elongation involved in ureteric bud branching by BMP signaling pathway|GO:0072101;specification of ureteric bud anterior/posterior symmetry by BMP signaling pathway|GO:0072104;glomerular capillary formation|GO:0072125;negative regulation of glomerular mesangial cell proliferation|GO:0072138;mesenchymal cell proliferation involved in ureteric bud development|GO:0072161;mesenchymal cell differentiation involved in kidney development|GO:0072192;ureter epithelial cell differentiation|GO:0072193;ureter smooth muscle cell differentiation|GO:0072198;mesenchymal cell proliferation involved in ureter development|GO:0072200;negative regulation of mesenchymal cell proliferation involved in ureter development|GO:0072205;metanephric collecting duct development|GO:0090184;positive regulation of kidney development|GO:0090191;negative regulation of branching involved in ureteric bud morphogenesis|GO:0090194;negative regulation of glomerulus development|GO:1901964;positive regulation of cell proliferation involved in outflow tract morphogenesis|GO:1902893;regulation of pri-miRNA transcription by RNA polymerase II|GO:1902894;negative regulation of pri-miRNA transcription by RNA polymerase II|GO:1903800;positive regulation of production of miRNAs involved in gene silencing by miRNA|GO:1905072;cardiac jelly development|GO:1905312;positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis|GO:2000005;negative regulation of metanephric S-shaped body morphogenesis|GO:2000007;negative regulation of metanephric comma-shaped body morphogenesis|GO:2000137;negative regulation of cell proliferation involved in heart morphogenesis|GO:2001237;negative regulation of extrinsic apoptotic signaling pathway	GO:0005576;extracellular region|GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005788;endoplasmic reticulum lumen	Process
BMP5	653	GO:0005125;cytokine activity|GO:0008083;growth factor activity|GO:0070700;BMP receptor binding|GO:0070700;BMP receptor binding	GO:0001501;skeletal system development|GO:0001503;ossification|GO:0003272;endocardial cushion formation|GO:0003323;type B pancreatic cell development|GO:0003344;pericardium morphogenesis|GO:0007389;pattern specification process|GO:0008284;positive regulation of cell proliferation|GO:0008285;negative regulation of cell proliferation|GO:0010719;negative regulation of epithelial to mesenchymal transition|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0010894;negative regulation of steroid biosynthetic process|GO:0021502;neural fold elevation formation|GO:0030509;BMP signaling pathway|GO:0030539;male genitalia development|GO:0030902;hindbrain development|GO:0032348;negative regulation of aldosterone biosynthetic process|GO:0043569;negative regulation of insulin-like growth factor receptor signaling pathway|GO:0043583;ear development|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0048738;cardiac muscle tissue development|GO:0050679;positive regulation of epithelial cell proliferation|GO:0051216;cartilage development|GO:0060037;pharyngeal system development|GO:0060395;SMAD protein signal transduction|GO:0060411;cardiac septum morphogenesis|GO:0060710;chorio-allantoic fusion|GO:0061384;heart trabecula morphogenesis|GO:0071676;negative regulation of mononuclear cell migration|GO:0097065;anterior head development|GO:1900006;positive regulation of dendrite development|GO:1902042;negative regulation of extrinsic apoptotic signaling pathway via death domain receptors|GO:1905069;allantois development|GO:2000065;negative regulation of cortisol biosynthetic process	GO:0005575;cellular_component|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0031982;vesicle	Process
BMP6	654	GO:0005125;cytokine activity|GO:0008083;growth factor activity|GO:0046982;protein heterodimerization activity|GO:0070700;BMP receptor binding|GO:0070700;BMP receptor binding	GO:0000122;negative regulation of transcription by RNA polymerase II|GO:0001501;skeletal system development|GO:0001649;osteoblast differentiation|GO:0001654;eye development|GO:0001822;kidney development|GO:0001938;positive regulation of endothelial cell proliferation|GO:0001958;endochondral ossification|GO:0003323;type B pancreatic cell development|GO:0006879;cellular iron ion homeostasis|GO:0006954;inflammatory response|GO:0006955;immune response|GO:0008284;positive regulation of cell proliferation|GO:0010628;positive regulation of gene expression|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0014823;response to activity|GO:0030501;positive regulation of bone mineralization|GO:0030509;BMP signaling pathway|GO:0030509;BMP signaling pathway|GO:0030509;BMP signaling pathway|GO:0030509;BMP signaling pathway|GO:0030539;male genitalia development|GO:0031666;positive regulation of lipopolysaccharide-mediated signaling pathway|GO:0032026;response to magnesium ion|GO:0032332;positive regulation of chondrocyte differentiation|GO:0032349;positive regulation of aldosterone biosynthetic process|GO:0032526;response to retinoic acid|GO:0043117;positive regulation of vascular permeability|GO:0045603;positive regulation of endothelial cell differentiation|GO:0045666;positive regulation of neuron differentiation|GO:0045669;positive regulation of osteoblast differentiation|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0050679;positive regulation of epithelial cell proliferation|GO:0050714;positive regulation of protein secretion|GO:0050731;positive regulation of peptidyl-tyrosine phosphorylation|GO:0051216;cartilage development|GO:0051384;response to glucocorticoid|GO:0060391;positive regulation of SMAD protein signal transduction|GO:0060395;SMAD protein signal transduction|GO:0060395;SMAD protein signal transduction|GO:0060395;SMAD protein signal transduction|GO:0060586;multicellular organismal iron ion homeostasis|GO:0071260;cellular response to mechanical stimulus|GO:0071281;cellular response to iron ion|GO:0071773;cellular response to BMP stimulus|GO:1903392;negative regulation of adherens junction organization|GO:2000048;negative regulation of cell-cell adhesion mediated by cadherin|GO:2000860;positive regulation of aldosterone secretion	GO:0005615;extracellular space|GO:0005737;cytoplasm|GO:0031982;vesicle	Process
BMP7	655	GO:0005125;cytokine activity|GO:0005515;protein binding|GO:0008083;growth factor activity|GO:0008201;heparin binding|GO:0070700;BMP receptor binding	GO:0001501;skeletal system development|GO:0001503;ossification|GO:0001656;metanephros development|GO:0001657;ureteric bud development|GO:0001707;mesoderm formation|GO:0001823;mesonephros development|GO:0001837;epithelial to mesenchymal transition|GO:0003272;endocardial cushion formation|GO:0003344;pericardium morphogenesis|GO:0007411;axon guidance|GO:0009880;embryonic pattern specification|GO:0010628;positive regulation of gene expression|GO:0010664;negative regulation of striated muscle cell apoptotic process|GO:0010718;positive regulation of epithelial to mesenchymal transition|GO:0010800;positive regulation of peptidyl-threonine phosphorylation|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0016358;dendrite development|GO:0021502;neural fold elevation formation|GO:0030326;embryonic limb morphogenesis|GO:0030501;positive regulation of bone mineralization|GO:0030509;BMP signaling pathway|GO:0030509;BMP signaling pathway|GO:0030509;BMP signaling pathway|GO:0030855;epithelial cell differentiation|GO:0030902;hindbrain development|GO:0032088;negative regulation of NF-kappaB transcription factor activity|GO:0032355;response to estradiol|GO:0033280;response to vitamin D|GO:0034116;positive regulation of heterotypic cell-cell adhesion|GO:0034504;protein localization to nucleus|GO:0042326;negative regulation of phosphorylation|GO:0042475;odontogenesis of dentin-containing tooth|GO:0043065;positive regulation of apoptotic process|GO:0043401;steroid hormone mediated signaling pathway|GO:0043407;negative regulation of MAP kinase activity|GO:0043434;response to peptide hormone|GO:0045665;negative regulation of neuron differentiation|GO:0045669;positive regulation of osteoblast differentiation|GO:0045746;negative regulation of Notch signaling pathway|GO:0045786;negative regulation of cell cycle|GO:0045839;negative regulation of mitotic nuclear division|GO:0045892;negative regulation of transcription, DNA-templated|GO:0045893;positive regulation of transcription, DNA-templated|GO:0045893;positive regulation of transcription, DNA-templated|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0048596;embryonic camera-type eye morphogenesis|GO:0048738;cardiac muscle tissue development|GO:0048754;branching morphogenesis of an epithelial tube|GO:0048762;mesenchymal cell differentiation|GO:0048812;neuron projection morphogenesis|GO:0051216;cartilage development|GO:0060037;pharyngeal system development|GO:0060272;embryonic skeletal joint morphogenesis|GO:0060393;regulation of pathway-restricted SMAD protein phosphorylation|GO:0060395;SMAD protein signal transduction|GO:0060395;SMAD protein signal transduction|GO:0060411;cardiac septum morphogenesis|GO:0060445;branching involved in salivary gland morphogenesis|GO:0060485;mesenchyme development|GO:0060548;negative regulation of cell death|GO:0060686;negative regulation of prostatic bud formation|GO:0060687;regulation of branching involved in prostate gland morphogenesis|GO:0060710;chorio-allantoic fusion|GO:0061384;heart trabecula morphogenesis|GO:0070487;monocyte aggregation|GO:0071456;cellular response to hypoxia|GO:0071773;cellular response to BMP stimulus|GO:0072040;negative regulation of mesenchymal cell apoptotic process involved in nephron morphogenesis|GO:0072125;negative regulation of glomerular mesangial cell proliferation|GO:0072133;metanephric mesenchyme morphogenesis|GO:0072134;nephrogenic mesenchyme morphogenesis|GO:0072136;metanephric mesenchymal cell proliferation involved in metanephros development|GO:0090336;positive regulation of brown fat cell differentiation|GO:1900006;positive regulation of dendrite development|GO:1900106;positive regulation of hyaluranon cable assembly|GO:1901223;negative regulation of NIK/NF-kappaB signaling|GO:1905069;allantois development|GO:1905312;positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis|GO:2000121;regulation of removal of superoxide radicals	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0031982;vesicle|GO:0062023;collagen-containing extracellular matrix	Process
BMP8A	353500	GO:0005125;cytokine activity|GO:0008083;growth factor activity|GO:0070700;BMP receptor binding	GO:0001503;ossification|GO:0002024;diet induced thermogenesis|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0030154;cell differentiation|GO:0030509;BMP signaling pathway|GO:0046676;negative regulation of insulin secretion|GO:0051216;cartilage development|GO:0060395;SMAD protein signal transduction|GO:0097009;energy homeostasis	GO:0005615;extracellular space	Process
BMP8B	656	GO:0005125;cytokine activity|GO:0008083;growth factor activity|GO:0070700;BMP receptor binding	GO:0001501;skeletal system development|GO:0001503;ossification|GO:0010862;positive regulation of pathway-restricted SMAD protein phosphorylation|GO:0030154;cell differentiation|GO:0030509;BMP signaling pathway|GO:0051216;cartilage development|GO:0060395;SMAD protein signal transduction	GO:0005615;extracellular space	Function
BTC	685	GO:0005154;epidermal growth factor receptor binding|GO:0005515;protein binding|GO:0008083;growth factor activity	GO:0000165;MAPK cascade|GO:0007165;signal transduction|GO:0007173;epidermal growth factor receptor signaling pathway|GO:0007173;epidermal growth factor receptor signaling pathway|GO:0008284;positive regulation of cell proliferation|GO:0035810;positive regulation of urine volume|GO:0038128;ERBB2 signaling pathway|GO:0042059;negative regulation of epidermal growth factor receptor signaling pathway|GO:0043066;negative regulation of apoptotic process|GO:0045597;positive regulation of cell differentiation|GO:0045741;positive regulation of epidermal growth factor-activated receptor activity|GO:0045840;positive regulation of mitotic nuclear division|GO:0048146;positive regulation of fibroblast proliferation|GO:0051781;positive regulation of cell division|GO:0051897;positive regulation of protein kinase B signaling|GO:0061024;membrane organization|GO:2000145;regulation of cell motility	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005886;plasma membrane|GO:0016021;integral component of membrane|GO:0030665;clathrin-coated vesicle membrane	Process
MYDGF	56005	GO:0005515;protein binding	GO:0001525;angiogenesis|GO:0001934;positive regulation of protein phosphorylation|GO:0001938;positive regulation of endothelial cell proliferation|GO:0001938;positive regulation of endothelial cell proliferation|GO:0006915;apoptotic process|GO:0014068;positive regulation of phosphatidylinositol 3-kinase signaling|GO:0036498;IRE1-mediated unfolded protein response|GO:0043066;negative regulation of apoptotic process|GO:0043410;positive regulation of MAPK cascade|GO:0045766;positive regulation of angiogenesis|GO:0045766;positive regulation of angiogenesis|GO:0045944;positive regulation of transcription by RNA polymerase II|GO:0051897;positive regulation of protein kinase B signaling	GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005783;endoplasmic reticulum|GO:0005788;endoplasmic reticulum lumen|GO:0005793;endoplasmic reticulum-Golgi intermediate compartment|GO:0005794;Golgi apparatus	Process
C3	718	GO:0004866;endopeptidase inhibitor activity|GO:0005102;signaling receptor binding|GO:0005515;protein binding|GO:0031715;C5L2 anaphylatoxin chemotactic receptor binding	GO:0001798;positive regulation of type IIa hypersensitivity|GO:0001934;positive regulation of protein phosphorylation|GO:0001970;positive regulation of activation of membrane attack complex|GO:0006631;fatty acid metabolic process|GO:0006954;inflammatory response|GO:0006955;immune response|GO:0006956;complement activation|GO:0006956;complement activation|GO:0006956;complement activation|GO:0006957;complement activation, alternative pathway|GO:0006958;complement activation, classical pathway|GO:0007165;signal transduction|GO:0007186;G protein-coupled receptor signaling pathway|GO:0009617;response to bacterium|GO:0010575;positive regulation of vascular endothelial growth factor production|GO:0010828;positive regulation of glucose transmembrane transport|GO:0010866;regulation of triglyceride biosynthetic process|GO:0010884;positive regulation of lipid storage|GO:0010951;negative regulation of endopeptidase activity|GO:0016322;neuron remodeling|GO:0030449;regulation of complement activation|GO:0043312;neutrophil degranulation|GO:0043687;post-translational protein modification|GO:0044267;cellular protein metabolic process|GO:0045745;positive regulation of G protein-coupled receptor signaling pathway|GO:0045766;positive regulation of angiogenesis|GO:0048260;positive regulation of receptor-mediated endocytosis|GO:0050776;regulation of immune response|GO:0060100;positive regulation of phagocytosis, engulfment|GO:0097242;amyloid-beta clearance|GO:0097278;complement-dependent cytotoxicity|GO:0150062;complement-mediated synapse pruning|GO:0150064;vertebrate eye-specific patterning|GO:1905114;cell surface receptor signaling pathway involved in cell-cell signaling|GO:2000427;positive regulation of apoptotic cell clearance	GO:0005576;extracellular region|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005615;extracellular space|GO:0005788;endoplasmic reticulum lumen|GO:0005886;plasma membrane|GO:0009986;cell surface|GO:0032991;protein-containing complex|GO:0034774;secretory granule lumen|GO:0035578;azurophil granule lumen|GO:0070062;extracellular exosome|GO:0072562;blood microparticle	Process
